Pulsar,HabCat,Distance (arcmin),Pulsar period
J1833-1034,30905,1.1271969270844726,0.061884
J1101-6101,113789,2.1541712803415267,0.0628
J1753-1914,27594,0.7808889291535499,0.062955
J1105-6107,113789,2.282193195811793,0.063193
J1811-1925,29221,0.5364776999801537,0.064667
J0855-4644,103523,0.500633019302577,0.064686
J2016+1948,39908,1.9846709321121947,0.06494
J1112-6103,113789,2.492996159524757,0.064962
J0205+6449,68804,0.4779060189997502,0.065716
J1729-2117,25694,0.030837662607862828,0.066293
J1831-0952,30905,1.2139316751767717,0.067267
J1420-6048,10575,0.5215458448205369,0.06818
J1928+1746,36392,0.455438519782148,0.06873
J1617-5055,20434,1.2976402692249125,0.069357
J1838-0655,31246,1.894382058704808,0.070498
J1904+0412,33719,1.5697614171048808,0.071095
J1828-1101,30905,0.2418889387806692,0.072052
J1718-3825,24332,1.4569392308862752,0.07467
J1925+1721,35943,0.5517078897363804,0.07566
J0510+38,83709,1.2984031755787802,0.076564
J1524-5625,15111,1.377791706505541,0.078219
J1824-2452D,30102,1.057918293488282,0.079832
J1935+2025,36951,0.380117123842366,0.080118
J1748-2446J,27236,0.8009959776572764,0.080338
J1856+0245,32644,2.4423562082731904,0.080907
J1809-1917,29221,0.20069444837063571,0.082747
J0106+4855,63864,0.8863825271259553,0.083157
J1531-5610,16514,1.0101587477731697,0.084202
J2204+27,48930,1.2754708343954755,0.0847
B1830-08,31069,2.6542338665806122,0.085284
J0940-5428,106794,1.472658480306461,0.087545
J1016-5819,110056,0.28547462508936844,0.087834
J1232-6501,3267,1.285605730750132,0.088282
J1509-5850,15220,1.1157748519448043,0.088922
B0833-45,101142,0.9587123701693486,0.089328
J1028-5819,110730,0.9804973054096531,0.091403
J0358+66,78568,0.5411187665257617,0.091507
J1954+2836,38550,1.1477192112793806,0.092709
J1753-2240,27828,0.611276185478303,0.095138
J2043+2740,42872,0.5206241295947147,0.096131
J1837-0604,31246,1.281770560216938,0.096294
J1747-2958,27336,0.310791198778722,0.098814
J1055-6028,113789,1.825838673031925,0.099661
J1915+1149,34710,0.9336461328273796,0.10004
J1853-0004,33238,0.8226210686163137,0.101436
B0114+58,65058,0.37378730237393165,0.101439
B1823-13,31345,2.2951610242054246,0.101487
J1151-6108,117795,1.2052214944157689,0.101633
J1522-5735,15220,0.9747927583961854,0.102136
B1706-44,23655,1.443403831539087,0.102459
J1711-4322,23655,1.1180182824130538,0.102618
J1459-6053,13460,0.7545106063787066,0.103151
J2021+3651,41529,1.4292792631439473,0.103741
J1811-1736,29248,0.5568981224542153,0.104182
J1538-5551,16514,1.0974162347099585,0.104675
J1845-0743,32933,2.430352444701969,0.104695
J1852+0040,32608,1.4806252398307322,0.104913
J1803-2149,28494,0.9563031262678819,0.106332
J1907+0602,33719,2.0083616896976713,0.106633
B0906-49,105290,1.7974496636731365,0.106755
J1016-5857,110056,0.880054266789958,0.107386
J1334-5839,8288,1.6634195925928241,0.107718
J1413-6205,10677,0.8731310757348344,0.109741
J1826-1256,30552,1.720355418336687,0.110224
J1418-6058,10677,0.4199487117713013,0.110573
B2127+11A,46899,1.300109667644578,0.110665
J1023-5746,110056,0.805679981031038,0.111472
J1750-3703A,27706,0.854747841142456,0.111601
J0821-4300,99880,1.1117762731819338,0.112799
J1739-3023,26550,0.2561352848332131,0.114368
J1429-5911,12572,1.5184931641484034,0.115843
J1138-6207,116221,1.1999069219316987,0.117564
J1638-4417,21701,1.3434343504002895,0.117802
B1634-45,21701,0.3867892653511506,0.118771
J0834-4159,101763,0.8158197196155292,0.121116
B1046-58,111854,1.6795870257083945,0.123671
J0820-3826,101116,2.0860071422955313,0.124836
B1757-24,28791,0.8986775318520895,0.124924
J1554-5209,18207,0.4217656190314161,0.12523
J1644-4657,22032,0.07836642860002077,0.125962
J1853+0545,32984,0.7227814747153228,0.1264
B1356-60,9704,0.6086061126539022,0.127501
B1508-57,15220,0.49284473126807365,0.128694
J1843-0355,31849,1.084721208388797,0.132314
B1800-21,28494,0.9115262233462126,0.133667
J1913+0832,34423,1.8680186614298415,0.134409
J1124-5916,116085,0.8635841472560967,0.135477
J1930+1852,36392,1.5505050888592495,0.136855
J0134-2937,66277,0.5463106314913121,0.136962
J1339-4712,7523,1.0200290432338528,0.137055
J2122+54,45937,0.14175586104453888,0.138866
J1044-5737,111854,0.7492852169282764,0.139029
B1727-33,25639,1.0600433717461004,0.13946
J1904+0004,34239,1.0390529524835261,0.139525
J1857+0143,34239,2.1991419260072593,0.13976
J1015-5719,109767,0.2966180183915946,0.139882
J2240+5832,52552,0.6362348311240414,0.139935
J1020-6026,110094,0.7437510773010966,0.14048
J1627-4706,20800,0.26031656483272747,0.140746
J1603-3539,19534,1.5283476839121612,0.141909
J0538+2817,86376,0.18206268385881236,0.143158
J2032+4127,42196,0.7596324656152664,0.14325
J1921+1544,36081,1.0342180674844836,0.143576
J1906+0746,34423,2.219852800523394,0.144073
B1930+22,36731,0.21181155763971812,0.14447
J1835-0944,30905,2.0063233589413993,0.145347
J1548-4821,18004,1.1880648828759848,0.145655
J1838-0537,31246,1.4330772042380533,0.145708
J1809-2332,29061,1.6063775893839132,0.146789
J1244-6359,2717,1.8138685749652896,0.147274
J1514-5925,15202,0.782058145477109,0.148796
J1839-0436,31849,1.3027073237962297,0.149461
B1509-58,15220,1.0126460920067066,0.151251
J1828-1007,30905,0.8331525900718479,0.153197
J1810-1820,29248,0.4629672341868362,0.153716
J1637-4642,21496,1.0547136920009377,0.154027
J1740+1000,26670,0.7354225521097482,0.154087
J1452-6036,13460,0.2506598420755534,0.154991
B0355+54,77944,1.2244922621788292,0.156382
J1650-4921,22755,1.3523826059981363,0.156399
J1947+1957,38216,0.6249622277939502,0.157509
J2111+4606,45072,0.805876002241559,0.15783
J1924+1639,36081,1.106273708632331,0.158043
J2038+35,42202,0.6432540896776499,0.16
J1130-5826,116085,0.7444511150388513,0.162323
J1019-5749,110056,0.41546938238039016,0.162499
J2238+5903,52552,1.1985922632185693,0.162734
J1913+0904,34423,1.5590679265854126,0.163246
J2006+3102,39748,1.010148048138969,0.163695
B1804-08,29063,0.5780250292109922,0.163727
J1648-4611,22032,1.0591829513954256,0.16495
J1835-1106,30905,1.5032692774400114,0.165907
J1357-6429,8070,1.6004318845066092,0.166108
J1938+2213,37217,1.002013994083718,0.166116
J1850-0026,32608,0.5299396894112111,0.166634
B0740-28,97012,0.43824540983815863,0.166762
J1907+05,33719,1.707712336878109,0.16868
J1548-5607,18023,0.3254968566142599,0.170934
J1620-4927,20359,1.1331716385039405,0.171935
J1744-3922,26909,0.9042234657501562,0.172444
J1836+5925,31712,0.41494428189366206,0.173264
J1915+1144,34710,0.9572417339142957,0.17365
J1132-5627,116497,1.1243433179108437,0.175166
J2028+3332,41445,0.242782900737137,0.176707
J1640-4648,22032,0.5990991063759767,0.178352
J1934+2352,36667,0.8455784789409613,0.178432
B1541-52,17033,0.9449396151699813,0.178554
J1836-1324,31581,0.5937859880405081,0.178756
J1757-15,28813,1.9474133256604431,0.1794
