Pulsar, RA, DEC, Distance (arc min)
J1748-2446T,17:48:04.8,-24:46:45,0.007085
J1551-0658,15:51:07.2,-06:58:06.5,0.00709
J1803-30,18:03:34.1,-30:02:02,0.007101
J1801-0857A,18:01:50.6,-08:57:31.8,0.007176
J1801-3210,18:01:25.8,-32:10:53.7,0.007454
J1045-4509,10:45:50.1,-45:09:54.1,0.007474
J0024-7204T,00:24:08.5,-72:04:38.9,0.007588
J1405-4656,14:05:21.4,-46:56:02.3,0.007602
J1701-3006C,17:01:12.8,-30:06:59.4,0.007613
J2129-04,21:29,-04:00,0.00762
J1918-0642,19:18:48.0,-06:42:34.8,0.007646
J1901+0300,19:01:59.6,+03:00:23.3,0.007797
J1546-59,15:46,-59,0.0078
B1516+02B,15:18:31.4,+02:05:15.4,0.007947
J1455-3330,14:55:47.9,-33:30:46.3,0.007987
J1730-2304,17:30:21.6,-23:04:31.2,0.008123
J1910-5959B,19:10:52.0,-59:59:00.8,0.008358
J1748-2446C,17:48:04.5,-24:46:36,0.008436
J1529-3828,15:29:15.1,-38:28:45.8,0.008486
J1953+67,19:53,+67:02,0.008565
J1748-2446N,17:48:04.8,-24:46:45,0.008667
J0645+5158,06:45:59.0,+51:58:14.9,0.008853
J1757-5322,17:57:15.1,-53:22:26.3,0.00887
J1910-5959D,19:10:52.4,-59:59:05.4,0.009035
J1804-2717,18:04:21.1,-27:17:31.2,0.009343
J1435-6100,14:35:20.2,-61:00:57.9,0.009348
J1337-6423,13:37:31.8,-64:23:04.9,0.009423
J1748-2446I,17:48:04.8,-24:46:45,0.00957
J0922-52,09:22,-52,0.00968
J1748-3009,17:48:23.7,-30:09:12.2,0.009684
J0824+00,08:24:16,+00:27,0.0099
B1639+36A,16:41:40.8,+36:27:15.4,0.010378
J2140-2310A,21:40:22.4,-23:10:48.7,0.011019
B1620-26,16:23:38.2,-26:31:53.7,0.011076
J0900-3144,09:00:43.9,-31:44:30.9,0.01111
J1525-5545,15:25:28.1,-55:45:49.8,0.01136
B1744-24A,17:48:02.2,-24:46:36.9,0.011563
J1802-2124,18:02:05.3,-21:24:03.6,0.012648
J1755-3716,17:55:35.4,-37:16:10.7,0.012786
J2140-2310B,21:40:22,-23:10:47,0.012986
J1949+3106,19:49:29.6,+31:06:03.8,0.013138
J1748-2021D,17:48:51.6,-20:21:07.4,0.013496
J1603-7202,16:03:35.6,-72:02:32.6,0.014842
J0721-2038,07:21:42.9,-20:38:07.0,0.015542
