TRAPPIST-1,23:06:29.36,-05:02:29.2
HD 215497 c,+22:46:36.81,-56:35:57.79
HD 2039 b,+00:24:20.19,-56:39:00.30
HD 154857 b,+17:11:15.63,-56:40:50.38
HD 154857 c,+17:11:15.63,-56:40:50.38
HD 101930 b,+11:43:30.09,-58:00:27.83
HD 30177 b,+04:41:54.30,-58:01:14.62
WASP-73 b,21:19:47.91,-58:08:56.0
HD 221287 b,+23:31:20.14,-58:12:34.99
HD 102117 b,+11:44:50.53,-58:42:12.74
epsilon Ret b,+04:16:29.08,-59:18:06.30
HD 27894 b,+04:20:46.84,-59:24:41.40
CoRoT-29 b,18:35:36.50,6:28:46.99
HD 40307 b,+05:54:04.30,-60:01:23.97
HD 40307 c,+05:54:04.30,-60:01:23.97
HD 40307 d,+05:54:04.30,-60:01:23.97
HD 23127 b,+03:39:23.55,-60:04:41.49
HD 142415 b,+15:57:40.92,-60:12:00.03
HD 10180 c,+01:37:53.59,-60:30:41.55
HD 10180 d,+01:37:53.59,-60:30:41.55
HD 10180 e,+01:37:53.59,-60:30:41.55
HD 10180 f,+01:37:53.59,-60:30:41.55
HD 10180 g,+01:37:53.59,-60:30:41.55
HD 10180 h,+01:37:53.59,-60:30:41.55
HD 196050 b,+20:37:51.94,-60:38:03.57
alpha Cen B b,+14:39:39.39,-60:50:22.13
OGLE-TR-182 b,11:09:18.710,-61:05:42.9
OGLE2-TR-L9 b,11:07:55.181,-61:08:46.5
OGLE-TR-111 b,10:53:17.910,-61:24:20.3
HD 147018 b,+16:23:00.37,-61:41:16.78
HD 147018 c,+16:23:00.37,-61:41:16.78
NGC 4349 127 b,12:24:35.474,-61:49:11.6
OGLE-TR-132 b,10:50:34.720,-61:57:25.9
OGLE-TR-211 b,10:40:14.390,-62:27:20.2
HD 65216 b,+07:53:41.48,-63:38:51.64
WASP-62 b,05:48:33.594,-63:59:18.2
HD 108147 b,+12:25:46.51,-64:01:18.98
WASP-100 b,04:35:50.32,-64:01:37.3
HD 25171 b,+03:55:49.24,-65:11:12.74
HD 4308 b,+00:44:39.04,-65:38:51.78
HD 7199 b,+01:10:47.06,-66:11:16.31
HD 181433 b,+19:25:09.90,-66:28:09.74
HD 181433 c,+19:25:09.90,-66:28:09.74
HD 181433 d,+19:25:09.90,-66:28:09.74
HD 76700 b,+08:53:55.93,-66:48:04.63
HD 11977 b,+01:54:56.01,-67:38:50.93
HD 111232 b,+12:48:51.71,-68:25:31.53
HD 95086 b,+10:57:03.09,-68:40:02.56
HD 175167 b,+19:00:00.85,-69:56:37.59
HD 216437 b,+22:54:39.56,-70:04:25.99
HD 108341 b,+12:27:31.62,-71:25:23.73
HD 131664 b,+15:00:06.04,-73:32:07.47
HD 38283 b,+05:37:01.73,-73:41:56.70
HD 212301 b,+22:27:30.71,-77:43:03.72
HD 63454 b,+07:39:21.91,-78:16:43.95
HD 1237 b,+00:16:11.24,-79:51:03.75
HD 137388 b,+15:35:40.09,-80:12:16.90
HD 39091 b,+05:37:08.79,-80:28:18.03
HD 142022 b,+16:10:16.98,-84:13:53.53
