TRAPPIST-1,23:06:29.36,-05:02:29.2
WTS-1 b,19:35:58.37,+36:17:25.17
HD 173416 b,+18:43:36.09,+36:33:23.27
Kepler-75 b,19:24:33.022,+36:34:38.5
HAT-P-5 b,18:17:37.299,+36:37:16.8
TrES-1 b,19:04:09.844,+36:37:57.5
WTS-2 b,19:34:55.871,+36:48:55.
HAT-P-9 b,07:20:40.479,+37:08:26.1
TrES-4 b,17:53:13.058,+37:12:42.3
Kepler-262 b,+19:22:54.88,+37:15:09.54
Kepler-262 c,+19:22:54.88,+37:15:09.54
Kepler-264 b,+19:28:10.70,+37:22:34.46
Kepler-264 c,+19:28:10.70,+37:22:34.46
TrES-3 b,17:52:07.020,+37:32:46.2
WASP-33 b,+02:26:51.06,+37:33:01.81
Kepler-263 b,+19:29:52.73,+37:34:04.04
Kepler-263 c,+19:29:52.73,+37:34:04.04
Kepler-261 b,+19:25:27.55,+37:36:33.01
Kepler-261 c,+19:25:27.55,+37:36:33.01
Kepler-356 b,+19:29:41.06,+37:40:58.15
Kepler-356 c,+19:29:41.06,+37:40:58.15
Kepler-156 b,+19:21:11.16,+37:44:58.16
Kepler-156 c,+19:21:11.16,+37:44:58.16
Kepler-19 b,19:21:41.002,+37:51:06.4
Kepler-98 b,19:02:38.797,+37:57:52.2
Kepler-260 b,+19:27:42.23,+38:00:50.83
Kepler-260 c,+19:27:42.23,+38:00:50.83
Kepler-268 b,+19:27:54.29,+38:03:18.29
Kepler-268 c,+19:27:54.29,+38:03:18.29
Kepler-323 b,+19:25:31.73,+38:07:38.89
Kepler-323 c,+19:25:31.73,+38:07:38.89
HAT-P-14 b,17:20:27.874,+38:14:31.9
Kepler-405 b,+19:25:38.28,+38:20:24.07
Kepler-405 c,+19:25:38.28,+38:20:24.07
Kepler-24 b,19:21:39.184,+38:20:37.5
Kepler-24 c,19:21:39.184,+38:20:37.5
Kepler-24 d,+19:21:39.17,+38:20:37.50
Kepler-24 e,+19:21:39.17,+38:20:37.50
Kepler-167 b,+19:30:38.02,+38:20:43.40
Kepler-167 c,+19:30:38.02,+38:20:43.40
HD 149026 b,+16:30:29.68,+38:20:49.85
Kepler-383 b,+19:25:22.22,+38:21:47.27
Kepler-383 c,+19:25:22.22,+38:21:47.27
Kepler-149 b,+19:03:24.88,+38:23:02.83
Kepler-149 c,+19:03:24.88,+38:23:02.83
Kepler-149 d,+19:03:24.88,+38:23:02.83
Kepler-9 b,19:02:17.756,+38:24:03.1
Kepler-9 c,19:02:17.756,+38:24:03.1
Kepler-9 d,19:02:17.756,+38:24:03.1
Kepler-376 b,+19:26:25.73,+38:24:37.40
Kepler-376 c,+19:26:25.73,+38:24:37.40
Kepler-274 b,+19:31:41.45,+38:28:38.21
Kepler-274 c,+19:31:41.45,+38:28:38.21
Kepler-234 b,+19:26:36.85,+38:29:40.78
Kepler-234 c,+19:26:36.85,+38:29:40.78
Kepler-275 b,+19:29:55.14,+38:30:53.71
Kepler-275 c,+19:29:55.14,+38:30:53.71
Kepler-275 d,+19:29:55.14,+38:30:53.71
HD 16760 b,+02:42:21.25,+38:37:08.17
Kepler-371 b,+19:29:18.35,+38:39:27.29
Kepler-371 c,+19:29:18.35,+38:39:27.29
Kepler-93 b,19:25:40.3,+38:40:20
HAT-P-1 b,22:57:46.825,+38:40:29.8
Kepler-198 b,+19:22:41.56,+38:41:27.64
Kepler-198 c,+19:22:41.56,+38:41:27.64
Kepler-278 b,+19:20:25.73,+38:42:08.03
Kepler-278 c,+19:20:25.73,+38:42:08.03
Kepler-146 b,+19:36:26.57,+38:42:36.83
Kepler-146 c,+19:36:26.57,+38:42:36.83
Kepler-21 b,+19:09:26.81,+38:42:50.21
Kepler-377 b,+19:41:41.28,+38:44:08.48
Kepler-377 c,+19:41:41.28,+38:44:08.48
Kepler-135 b,+19:21:58.82,+38:47:43.73
Kepler-135 c,+19:21:58.82,+38:47:43.73
Kepler-157 b,+19:24:23.33,+38:52:32.20
Kepler-157 c,+19:24:23.33,+38:52:32.20
Kepler-379 b,+19:42:48.28,+38:56:44.99
Kepler-379 c,+19:42:48.28,+38:56:44.99
Kepler-30 b,19:01:08.076,+38:56:50.2
Kepler-30 c,19:01:08.076,+38:56:50.2
Kepler-30 d,19:01:08.076,+38:56:50.2
HD 45350 b,+06:28:45.74,+38:57:47.13
Kepler-317 b,+19:39:46.55,+39:01:55.42
Kepler-317 c,+19:39:46.55,+39:01:55.42
Kepler-276 b,+19:34:16.36,+39:02:10.75
Kepler-147 b,+19:11:54.17,+39:05:13.85
Kepler-147 c,+19:11:54.17,+39:05:13.85
XO-5 b,07:46:51.959,+39:05:40.4
Kepler-58 b,19:45:26.077,+39:06:54.6
Kepler-58 c,19:45:26.077,+39:06:54.6
Kepler-58 d,+19:45:26.06,+39:06:54.68
14 And b,+23:31:17.20,+39:14:11.05
KOI-4427 b,+19:40:28.14,+39:16:26.72
Kepler-235 b,+19:04:18.98,+39:16:41.95
Kepler-235 c,+19:04:18.98,+39:16:41.95
Kepler-235 d,+19:04:18.98,+39:16:41.95
Kepler-235 e,+19:04:18.98,+39:16:41.95
Kepler-442 b,+19:01:27.98,+39:16:48.30
Kepler-331 b,+19:27:20.23,+39:18:26.50
Kepler-331 c,+19:27:20.23,+39:18:26.50
Kepler-331 d,+19:27:20.23,+39:18:26.50
Kepler-183 b,+19:34:07.39,+39:18:57.20
Kepler-183 c,+19:34:07.39,+39:18:57.20
Kepler-120 b,+19:11:34.01,+39:20:20.87
Kepler-120 c,+19:11:34.01,+39:20:20.87
HAT-P-15 b,04:24:59.534,+39:27:38.3
Kepler-25 b,19:06:33.220,+39:29:16.3
Kepler-25 c,19:06:33.220,+39:29:16.3
Kepler-288 b,+19:15:39.96,+39:35:40.96
Kepler-288 c,+19:15:39.96,+39:35:40.96
Kepler-288 d,+19:15:39.96,+39:35:40.96
Kepler-76 b,19:36:46.108,+39:37:08.4
Kepler-121 b,+19:04:38.89,+39:40:40.80
Kepler-121 c,+19:04:38.89,+39:40:40.80
Kepler-350 b,+19:01:40.69,+39:42:22.00
Kepler-319 b,+19:15:14.87,+39:46:14.38
Kepler-319 c,+19:15:14.87,+39:46:14.38
Kepler-319 d,+19:15:14.87,+39:46:14.38
Kepler-158 b,+18:56:07.73,+39:46:52.79
Kepler-158 c,+18:56:07.73,+39:46:52.79
Kepler-168 b,+19:38:50.42,+39:49:30.36
Kepler-168 c,+19:38:50.42,+39:49:30.36
Kepler-236 b,+18:55:27.95,+39:53:53.09
Kepler-236 c,+18:55:27.95,+39:53:53.09
Kepler-122 b,+19:24:26.86,+39:56:56.80
Kepler-122 c,+19:24:26.86,+39:56:56.80
Kepler-122 d,+19:24:26.86,+39:56:56.80
Kepler-122 e,+19:24:26.86,+39:56:56.80
PH-1 b,19:52:51.624,+39:57:18.36
Kepler-80 b,19:44:27.02,+39:58:43.6
Kepler-80 c,19:44:27.016,+39:58:43.6
Kepler-80 d,+19:44:27.02,+39:58:43.61
Kepler-80 e,+19:44:27.02,+39:58:43.61
Kepler-103 b,19:15:56.2,+40:03:52
